Ch,yyyy,mm,dd,hh,mm,ss,Power,Power off,Status,Thermocouple,Temp C
B, 2020, 08, 29,0,01,45.330,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,45.732,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,46.133,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,46.535,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,46.936,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,47.338,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,47.739,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,48.141,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,48.542,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,48.944,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,49.345,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,49.746,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,50.148,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,50.550,TX-60, OK, Manual, Normal, R, 76.6
B, 2020, 08, 29,0,01,50.951,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,51.353,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,51.754,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,52.155,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,52.557,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,52.959,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,53.360,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,53.761,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,54.163,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,54.564,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,54.966,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,55.367,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,55.769,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,56.170,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,56.572,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,56.973,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,57.375,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,57.776,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,58.178,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,58.579,TX-60, OK, Manual, Normal, R, 76.6
B, 2020, 08, 29,0,01,58.981,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,01,59.382,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,01,59.784,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,00.185,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,00.587,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,00.988,TX-60, OK, Manual, Normal, R, 76.6
B, 2020, 08, 29,0,02,01.390,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,01.791,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,02.092,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,02.494,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,02.896,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,03.297,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,03.698,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,04.100,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,02,04.502,TX-60, OK, Manual, Normal, R, 76
B, 2020, 08, 29,0,02,04.903,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,05.305,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,05.706,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,06.107,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,06.509,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,06.910,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,07.312,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,07.713,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,08.115,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,08.516,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,08.918,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,09.319,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,09.721,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,10.122,TX-60, OK, Manual, Normal, R, 76.4
B, 2020, 08, 29,0,02,10.524,TX-60, OK, Manual, Normal, R, 76.6
B, 2020, 08, 29,0,02,10.925,TX-60, OK, Manual, Normal, R, 76.4
